day,topic,telugu,pronunciation,english,sort_order
29,Conversation practice,నాకు ఒక కథ చెప్పండి,Naaku oka katha cheppandi,Tell me a story,5
29,Conversation practice,మీకు ఇష్టమైన పనులు ఏంటి?,Meeku ishtamaina panulu enti?,What are your hobbies?,6
29,Conversation practice,నాకు సినిమాలు చూడటం ఇష్టం,Naaku cinemalu chudatam ishtam,I like watching movies,7
29,Conversation practice,మీరు ఎలాంటి పాటలు వింటారు?,Meeru elanti paatalu vintaru?,What music do you listen to?,8
29,Conversation practice,ఈరోజు మీరు ఎక్కడికి వెళ్లారు?,Eeroju meeru ekkadiki vellaru?,Where did you go today?,9
29,Conversation practice,నేను పార్కుకి వెళ్ళాను,Nenu park-ki vellanu,I went to the park,10
30,Real life conversations,ఈరోజు చాలా బాగా చేశారు!,Eeroju chala baaga chesaru!,Good job today!,1
30,Real life conversations,మనం కోర్సు పూర్తి చేసాము,Manam course poorthi chesamu,We have finished the course,2
30,Real life conversations,తెలుగులో మాట్లాడుతూ ఉండండి,Telugu-lo matladutu undandi,Keep speaking Telugu,3
30,Real life conversations,తప్పులు చేయడానికి భయపడకండి,Thappulu cheyadaniki bhayapadakandi,Don't be afraid to make mistakes,4
30,Real life conversations,మీరు మెరుగుపడుతున్నారు,Meeru merugupadutunnaru,You are improving,5
30,Real life conversations,నేర్చుకోవడానికి సమయం పడుతుంది,Nerchukovadaniki samayam padutundi,It takes time to learn,6
30,Real life conversations,ప్రతిరోజూ సాధన చేయండి,Pratiroju saadhana cheyandi,Practice every day,7
30,Real life conversations,స్థానిక ప్రజలతో మాట్లాడండి,Sthaanika prajalatho matladandi,Talk to local people,8
30,Real life conversations,నిన్ను చూస్తుంటే నాకు గర్వంగా ఉంది,Ninnu chustunte naaku garvanga undi,I am proud of you,9
30,Real life conversations,ధన్యవాదాలు మరియు వీడ్కోలు,Dhanyavadalu mariyu veedkolu,Thank you and goodbye,10
